cohort,block,model,mode,roc_auc,pr_auc,brier,precision,recall,specificity,f1,f2,thr,thr_policy,repeat,fold
antepartum,FULL,LR,weighted,0.8067777777777777,0.4490877300647092,0.09746803114017373,0.1346153846153846,0.9722222222222222,0.1,0.23648648648648649,0.43316831683168316,0.09999999999999999,recall+precision,1,1
antepartum,FULL,Ensemble_SoftVote_Uniform,ensemble,0.8034444444444444,0.4665311611787244,0.0975027916841548,0.14937759336099585,1.0,0.18,0.259927797833935,0.4675324675324675,0.11,recall+precision,1,1
antepartum,FULL,Ensemble_SoftVote_Weighted,ensemble,0.8033333333333332,0.46617928926162927,0.09749839602903901,0.14937759336099585,1.0,0.18,0.259927797833935,0.4675324675324675,0.11,recall+precision,1,1
antepartum,FULL,LR,weighted,0.7782682193839218,0.40241263624344836,0.11894734584610746,0.21910112359550563,0.8863636363636364,0.4256198347107438,0.35135135135135137,0.5508474576271186,0.11,recall+precision,1,2
antepartum,FULL,Ensemble_SoftVote_Uniform,ensemble,0.7739481592787377,0.4115200072082969,0.11860371861965117,0.21468926553672316,0.8636363636363636,0.4256198347107438,0.3438914027149321,0.5382436260623229,0.11,recall+precision,1,2
antepartum,FULL,Ensemble_SoftVote_Weighted,ensemble,0.774229902329076,0.40021809188001034,0.11861950180350342,0.2159090909090909,0.8636363636363636,0.4297520661157025,0.34545454545454546,0.5397727272727273,0.11,recall+precision,1,2
antepartum,FULL,LR,weighted,0.8132996246073699,0.5390404806207312,0.14590931713198052,0.2727272727272727,0.9473684210526315,0.37117903930131,0.4235294117647059,0.6338028169014085,0.12,recall+precision,1,3
antepartum,FULL,Ensemble_SoftVote_Uniform,ensemble,0.8090094231211216,0.5331881600198826,0.14310289943352061,0.27835051546391754,0.9473684210526315,0.388646288209607,0.4302788844621514,0.6398104265402843,0.11,recall+precision,1,3
antepartum,FULL,Ensemble_SoftVote_Weighted,ensemble,0.8090860338619474,0.532554898570939,0.1432337192474881,0.2755102040816326,0.9473684210526315,0.3799126637554585,0.4268774703557312,0.6367924528301887,0.11,recall+precision,1,3
antepartum,FULL,LR,weighted,0.7848962369758029,0.49641471886594196,0.13050861674754247,0.23232323232323232,0.9387755102040817,0.35864978902953587,0.3724696356275304,0.583756345177665,0.12,recall+precision,1,4
antepartum,FULL,Ensemble_SoftVote_Uniform,ensemble,0.7836906914664601,0.49247258325408944,0.12853824077093828,0.22549019607843138,0.9387755102040817,0.3333333333333333,0.36363636363636365,0.575,0.11,recall+precision,1,4
antepartum,FULL,Ensemble_SoftVote_Weighted,ensemble,0.7837768018599846,0.4901880494998446,0.12857588443684811,0.24719101123595505,0.8979591836734694,0.4345991561181435,0.3876651982378855,0.5882352941176471,0.12,recall+precision,1,4
antepartum,FULL,LR,weighted,0.8290878851540616,0.5316738136564443,0.13062589782203415,0.22439024390243903,0.9583333333333334,0.3319327731092437,0.36363636363636365,0.5793450881612091,0.14,recall+precision,1,5
